,0
ප්‍රාමාණිකයන්,4
ගැයීමේ,4
සළකා,4
සන්නිවේදිතය,4
කාක,4
නීතිඥවරු,4
නිශ්විත,4
සලස්වන,4
නිව්ස්,4
ගැටඹේ,4
ඔහොමයි,4
ප්‍රංශයට,4
තුමාට,4
විසිහයක්,4
පුස්තකාලවල,4
අනුරූපතාවක්,4
මැතිවරණෙ,4
කොල්ලයෙන්,4
සමත්වීමට,4
තර්කයක,4
වලටද,4
උපකල්පණයක්,4
මායාකාරී,4
තේමිස්ට,4
කැපීමෙන්,4
නමෝ,4
ක්‍රීඩාංගනයේ,4
නිකුතුව,4
කියෙව්වොත්,4
මදුරෙයිහි,4
හැදෑරුවේ,4
විරුද්ධවීමක්,4
භූතයෝ,4
චින්තකයෝ,4
යෝජනාවෙ,4
ගිවිසුමක,4
පනත්වල,4
පුම්බන,4
සිරිජාතිකවාදියෙක්,4
පූජකතුමන්,4
දුන්නු,4
කප්පමික,4
ඇන්දුවා,4
සන්නිකර්ෂණව,4
කරපිටින්,4
කියමනත්,4
අන්‍යාකාරය,4
අකීකරු,4
චතුස්කෝටිකයෙහි,4
අභිලාෂයයි,4
ජෛනයන්,4
ජවය,4
හුක්,4
අසංවර,4
ලැබෙන්නකි,4
ලියති,4
අනුගාමිකයන්ගේ,4
ඔයා,4
අර්ථදැක්වීමට,4
පෙරේතකම,4
සංවරය,4
නීතිඥයකුවත්,4
ඇමතිවරිය,4
කාර්,4
තායිලන්ත,4
හොරගොල්ල,4
හරින්නට,4
ප්‍රබන්ධයක්,4
මතවාදයේ,4
කම්පාවක්,4
ගෙතීමක්,4
පෙත්සමක්,4
නිදර්ශනය,4
ඉදිරිපිටත්,4
ගැලීම,4
අඩුවිය,4
රේ,4
ග්‍රන්ථාරූඪ,4
එරී,4
පස්සෙන්,4
ම්,4
දෙමළවත්,4
කිපීමෙන්,4
වාංශිකයෙක්,4
විිද්‍යාඥයෙක්,4
පැටවීමක්,4
හෙම්බිරිස්සාවට,4
ශිෂ්‍යත්වයෙන්,4
පාලනයකට,4
නොපැමිණීම,4
ලාභියකු,4
වෙදමහතුන්ගෙ,4
මුස්තෆා,4
තල්,4
එහෙත,4
වැහීම,4
සිරකරුවෙක්,4
වැදිලා,4
කවය,4
ජනමාධ්‍යවේදියෙක්,4
දිවුරුමක්,4
එවනු,4
මනෙන්ද්‍රියට,4
සම්ප්‍රදායයි,4
ජ්‍යාමිතියෙන්,4
මතුකර,4
එක්කයි,4
ඉන්ද්‍රියගෝචර,4
සාමූහිකත්වයෙන්,4
ඉවත්කරන්න,4
බැරිවුණා,4
ක්‍රමානුකූල,4
අගයට,4
තෝරාගත,4
මන්දගාමී,4
පෙතෙහි,4
සැක්සන්වරුන්,4
කුං,4
වීරකම,4
ළඟක,4
නොවෙනු,4
පරිසරයත්,4
වර්ධන,4
මුජාහිඩීන්,4
සභාපතිවරයකු,4
නීචයි,4
අනෙකකු,4
කතිර,4
සමීක්ෂණයකින්,4
දැකගත්,4
වගන්තිවලින්,4
ජීවිතවල,4
වගාවටත්,4
ජීවත්වන්නන්ගේ,4
එවැන්නකුගේ,4
පුත්‍රයා,4
පුද්ගලිකව,4
ඉන්ද්‍රියානුභූතවාදීන්,4
පෙනුනේ,4
බලධාරීන්ගෙන්,4
මුහුදට,4
සම්මුතීන්,4
දෙයත්,4
යෝක්හි,4
දිනේෂුත්,4
හැසිරෙනවා,4
අන්තවාද,4
යන්නෝ,4
සිටුවීම,4
කියුබානු,4
පනතක,4
පෑහීමට,4
කළවිට,4
විටයි,4
පීඨවලත්,4
දේශනයෙහි,4
මුත්තා,4
කුමරා,4
හිතවත්කම,4
ගිළිහී,4
දෙඩීමට,4
වෙම්බඩි,4
ධර්මයකි,4
හටගනී,4
පළකරනවා,4
ක්‍රියාකිරීම,4
ආරංචිය,4
සම්මුතියේ,4
ඇතුන්ට,4
නියෝගයේ,4
විටෙකවත්,4
නවත්ත,4
වැටහීමකින්,4
භිෂණය,4
එතුමන්ගේ,4
එකඟත්වයෙන්,4
සංස්කාරකවරුන්,4
නායකකමට,4
අස්කෙරුණා,4
පැමිණියහොත්,4
ධූරය,4
ඔහගේ,4
සයන්ටිස්ට්,4
හෘද,4
මතුවූයේ,4
ගැටුමෙහි,4
දෙන්නන්ට,4
පොහොට්ටවේ,4
ලැබෙන්නත්,4
පවර,4
ප්‍රවේගයෙන්,4
ගොනුකර,4
සොක්‍රටීස්‌,4
ස්ථානවලට,4
පිළිතුරුත්,4
බෙදෙන,4
ජයගනු,4
හඳුන්නෙත්තිට,4
පැටවූයේ,4
විිද්‍යාවෙි,4
කාර්යාලෙ,4
එපමණක්‌,4
සැකයෙන්,4
පිදුම්,4
මැවීමකි,4
ස්වරුපයක්,4
පාපියකු,4
කොමිසම්වල,4
නොපණත්කම්,4
වර්ෂයේ,4
ලෑබූ,4
අඩක්,4
බැරැන්ඩි,4
ගෙන්නන්නත්,4
ඉටුවෙන,4
සහාරාන්ගෙ,4
සෛද්ධාන්තික,4
බරයි,4
කරුණත්,4
උකුල්උඩ,4
සිත්වලට,4
ආණ්ඩුකාරවරු,4
පඬියනට,4
සම්භාවිතාවකින්,4
වටකර,4
ආගමානුකූල,4
ගෙවීම්,4
ඉල්ලති,4
එලියට,4
ඇමතිගෙන්,4
සංදර්ශනවල,4
යුදෙවුවන්ට,4
චණ්ඩිකම,4
සම්මුතියකින්,4
ආසියාවේත්,4
කුළුණේ,4
පිිරිසක්,4
ලියමි,4
මස්සිනාලාට,4
සාත්තු,4
වෙනදාටත්,4
ලබාදීමේ,4
දක්වන්නන්,4
සිදුවීමක්,4
දෙන්නයි,4
ඒනිසා,4
උත්තේජනයක්,4
තොරතුරුවලට,4
හැදෑරුවෙමි,4
ආහාරයක්,4
වෘත්තාකාර,4
ඝනඵලය,4
නිරූපණයක්,4
හිංසාව,4
කච්චතිවු,4
තීරක,4
කිස්තියානි,4
ප්‍රවාහයට,4
බෙදාගැනීම,4
රටාවන්,4
රටතුල,4
ජාප,4
මහාරාජාට,4
පොහොට්ටුවවත්,4
හැඳින්වෙන්න,4
බුදුරැස්,4
වර්ගීකරණයට,4
හිටියාට,4
ආඥාවක්,4
ප්‍රියසාද්,4
සුහදත්වය,4
නඩත්තුවන,4
සම්මාදන්,4
වුණයි,4
බිහිකෙරී,4
සංජානනයකින්,4
වැළැඳ,4
රණවකත්,4
ගැසීමෙනි,4
සුළඟේ,4
ජාතිවාදයකි,4
පීරිස්ලා,4
ඉවත්කිරීමේ,4
අධිසාමාජිකයන්,4
වෙලවෙ,4
පොහොරවලින්,4
උල්පන්දන්,4
සභාපතිත්වයට,4
තරුණයන්ගෙන්,4
පාළු,4
අනුමැතියකින්,4
ගැයෙන්නේ,4
මෛත්‍රිපාලටයි,4
සළුපිළි,4
කරන්නටත්,4
ආන්දෝලනයක්,4
පැවරුණා,4
නග්නව,4
ුදහමට,4
බුද,4
හැකිවන්නේ,4
පකිස්ථානයේ,4
ස්වභාවයෙන්ම,4
කැබැල්ල,4
ෆෝටෝනවල,4
ප්‍රබලයි,4
පහළොස්,4
සංයෝගය,4
මැදිහත්වන්න,4
ඝාතකයා,4
අඩිතාලමක්,4
බ්‍රාහ්මණයෝ,4
තපුස්,4
වැඩිදෙනා,4
යෝගරාජා,4
අනුබද්ධිත,4
ජෛව,4
කල්කය,4
නාන්න,4
බටහිරවත්,4
කොමසාරිස්ලා,4
යැවෙන්නේ,4
දරාගන්න,4
මැග්නීසියම්,4
පරස්පරවලට,4
ගෙනියන්නෙ,4
මඬුල්ල,4
පුරප්පාඩු,4
ඕනෑකමට,4
සැලසිය,4
පිටකයෙ,4
වික්‍රමබාහුගේ,4
යන්ත්‍රයක්,4
දිල්ලියට,4
සාංසාරික,4
ඩෙප්,4
ඉදිකරන්න,4
හැඳින්වෙන්නෙ,4
පෙනහළු,4
ඉන්දුනීසියාව,4
කැමරන්ලා,4
දුමක්,4
සිංහලකමට,4
රජ්ජුරුවන්ට,4
එතැන්,4
චක්‍රීයව,4
පරමවිඥානාර්ථ,4
හැටියටවත්,4
විරසයක්,4
යෙදවීමට,4
පොන්නම්බලම්ගේ,4
පෑලියගොඩ,4
රත්රන්,4
නැගිටින්නේ,4
පැතිරෙව්වා,4
බිෂොප්ලා,4
සහජ,4
හැරිල,4
ජයගන්නා,4
පාඩමෙන්,4
නිජභූමියේ,4
ඉනදියාව,4
අපැහැදිලි,4
අක්‍රිය,4
දරන්නන්,4
මීටත්,4
අලිමංකඩ,4
නොදැක්වීම,4
පළකිරීමේ,4
ඇත්තවුන්,4
හාමිනේලාගේ,4
චීනෙට,4
නොවුණේ,4
පඬිනියන්ට,4
අරුමුගම්,4
රාජරත්න,4
ආඛ්‍යාන,4
අර්ථශූන්‍ය,4
නෙලා,4
දන්නෙමු,4
අපවිත්‍ර,4
ටාසන්,4
සංඝනායක,4
පත්වේවි,4
රහසේ,4
මුරය,4
ප්‍රකට,4
අල්ලන්නේ,4
බලි,4
මනරම්,4
ශබිදයක්,4
වදාරා,4
සුවඳක්,4
අටව,4
නියෝජනයක්,4
චක්‍රවර්තීන්ගේ,4
සර්ට,4
බැන්දා,4
කියවන්නේවත්,4
කුමන්ත්‍රණයකින්,4
අප්‍රසාදය,4
කෙරීමක්,4
බෞද්ධයෙකු,4
වගකීමයි,4
උපක්‍රමවලට,4
වැසියකු,4
වංගයට,4
හිතුවක්කාර,4
ප්‍රකාශකයා,4
පිහිටෙවුව,4
මුුහුදු,4
දෙනාගෙ,4
අවඥා,4
බිහිවෙච්ච,4
ප්‍රවනතාවක්,4
මාලි­ගා­විල,4
ප්ලේටෝට,4
පරවැඩ,4
නොපිළිගත්ත,4
වෙන්ඩු,4
අත්වැඩ,4
එල්ලීමට,4
ලිවීමත්,4
පත්කළහ,4
සෞභාග්‍යයේ,4
දෙවියෙක්,4
ගීතයට,4
තැටි,4
නූණා,4
බොරුවෙහි,4
ද්‍රව්‍යවාදියෙක්,4
ගොවීන්ගෙ,4
සෙවීමක්,4
ධනේශ්වරයට,4
මගඩියක්,4
යෙහෝවාගේ,4
දවස්වලත්,4
පර්ෂදයක්,4
හාන්කවිසියක්,4
පිහිටුවීමක්,4
භටයකු,4
නල,4
චර්යා,4
වැවට,4
උගුල්ලා,4
පඩියක්,4
රිදෙන,4
ප්‍රතිනිර්මාණය,4
සකස්කිරීමට,4
ප්‍රතිපත්තිවල,4
උපසභාපති,4
කීිරීම,4
මළගමට,4
සම්ප්‍රදායන්,4
දේශකයකු,4
භාරකාරයා,4
දෙබස්,4
පාහෙ,4
පෙරහැරක්,4
පැතිරවීමේ,4
අවශ්‍යතාවත්,4
ගාගෙන,4
හරි­යට,4
ඓහික,4
අවශ්‍යතාවකුත්,4
ශිවාජිලිංගම්ලා,4
එෆ්,4
පරහට,4
ප්‍රභින්න,4
සම්මතෙහි,4
ඇලුමීනියම්,4
ක්ෂයවීමක්,4
ගොල්ලන්ගෙ,4
චින්තනවලට,4
ගොල්ලන්,4
පෙන්වනු,4
දිළිසෙන,4
කාල්ලා,4
ඉතිහාසෙ,4
ගන්වන්න,4
ජෝන්ට,4
කොටස්වලින්,4
මනුෂ්‍යයන්ට,4
ආවඩන,4
තිස්සලා,4
ටූ,4
ගුඩ්මන්ගේ,4
විසිපහෙන්,4
මාවත්,4
අවස්ථාවලදී,4
සිදුවුනු,4
ව්‍යාපාරිකයකු,4
ඥාතියකු,4
ආදීන්ටත්,4
ඔබත්,4
නෙරපනු,4
ඇවතුම්,4
දිනාගත්තේ,4
කසුන්,4
දෙගොල්ල,4
පැනවෙනවා,4
ප්‍රියමනාප,4
යුදෙවිවන්ට,4
ප්‍රේමීන්,4
කිතුණු,4
උත්තේජකයක්,4
පිරිසගේ,4
රණවිරුවන්ටත්,4
මලබාර,4
විමලා,4
වැඩපිළිවෙළක්,4
විත්තිය,4
ලොක්ක,4
හැරෙන්නෙ,4
පිපිරීම්,4
දමන්නට,4
ලාංකිකයෙක්,4
රාජපක්ෂවාදීන්,4
යඃ,4
නවත්වනවා,4
සත්වයකුගේ,4
ගැයුවේ,4
බෙදුණා,4
දෙන්නම,4
සාදා,4
පුවරු,4
දික්කරන,4
ග්‍රෙගරි,4
ජනාධිපතිතුමාටත්,4
පැරණිය,4
ගැනීමෙහි,4
වැජඹෙති,4
රාජ්,4
තේරුණු,4
අතුගෑවී,4
විරෝධත්වය,4
වේශයෙන්,4
කඩාවැටීමක්,4
මවන්නේ,4
භාරකාරත්වය,4
ඉඳීමෙන්,4
නිවාසය,4
තෝරාගැනීමට,4
පෘෂ්ඨයේ,4
වැඩිවෙනවා,4
අත්වේවා,4
නායකයකුට,4
ගූඪ,4
පෙරහැරවලට,4
ලැබේය,4
මැවුම්කරුවා,4
විකාශයෙ,4
පෙනුනත්,4
කරත්වා,4
පෙනිණි,4
උපචාර,4
ගැනවිල්ල,4
විසු,4
කොහේද,4
නොගන්නට,4
වතිකානුවේ,4
සතුරෝ,4
දේවලට,4
ඝෝෂාවක්,4
අම්මලාගේ,4
කාර්යයකට,4
විසිරෙන,4
නැගෙනහිරෙන්,4
ලැබෙමින්,4
කරාබු,4
පැණවිය,4
බිසොව,4
විසිහයෙන්,4
ඉරත්,4
මැතිවරණත්,4
පුරවැසියෝ,4
අනුවවත්,4
ප්‍රකාශයක,4
බුද්ධියෙනි,4
කළමණාකරණය,4
සැලසුම,4
ධාරාවක්,4
නැටි,4
විශ්ලේෂණයත්,4
පොතු,4
මතකයේ,4
ණ්,4
අමරවීරට,4
පවත්වයි,4
මුද්දක්,4
ආරමිභය,4
මෝරා,4
සිතෙන්නට,4
අනුකාරකයින්,4
ඇටිටි,4
කොල්ලෝ,4
නරකින්,4
නොවෙය,4
පරිද,4
රොබෙයිරො,4
උදාහරණවලින්,4
ප්‍රශ්නයවත්,4
ගහගන්න,4
බැසිල්ටත්,4
මොකෙන්,4
තෙස්තමේන්තුවට,4
බොහේ,4
බයිලාව,4
බලාපොරොත්තුවයි,4
හෂිම්,4
ගෙතෙන්නේ,4
ජොන්සන්ට,4
නමවත්,4
හිතමින්,4
ගලින්,4
නැත්තේත්,4
අරෙහෙ,4
විකිණෙනවා,4
ආක්‍රමණශීලී,4
ඛාන්,4
නොයොදා,4
ගමනෙහි,4
ඉන්ද්‍රියානුභූතවාදයෙහි,4
පල්ලියෙන්,4
ඇරපු,4
වංශවතුන්,4
කිට්ටුව,4
හිඟ,4
හඳුනයි,4
උපන්දින,4
ඉවත්වෙන්න,4
පෙදෙසට,4
ගණඳුරු,4
විජේ,4
මැකොස,4
අභිලාෂයන්ට,4
පැනගත්,4
ජනාධිපතිවරුන්ට,4
වට්ටන්න,4
රේණුවකින්වත්,4
මැද්දෙ,4
චිත්‍රපටියෙහි,4
ඇමෙරිකාවට,4
ද්විමානයෙහි,4
යටකර,4
සංසද,4
කල්පනාකාරීව,4
හුදෙක්‌,4
කණ්ඩයම,4
ගේනව,4
භීෂණයෙන්,4
පපුවක්,4
අමාරුවට,4
බෝධිය,4
පෙරටුගාමින්ට,4
වැළක්,4
සේවකයෙක්,4
ගොවියන්ගේ,4
රහමන්,4
කරණම්,4
අභියෝගාත්මක,4
සමථා,4
තිරියායේ,4
පැවතිලා,4
ග්‍රාහකයන්,4
අසාඩ්,4
අසාඩ්ගේ,4
හටගත්තක්,4
සර්වතෝභද්‍ර,4
සැඟවීමට,4
සමහරෙක්,4
ද්වේෂයෙන්,4
සුළුතරයකට,4
මදින්නන්,4
දීන්,4
අතරය,4
හඬපටය,4
ආර්යාව,4
පලස්තීනය,4
යටතේයි,4
ඇපයට,4
තලන්න,4
ගිවිසුමටත්,4
කට්ට,4
බේරල,4
වෙන්විය,4
ශිෂ්‍යන්ට,4
සංයමය,4
උච්ඡෙදවාදයක්,4
පෙරහුරුවක්,4
තලේබාන්,4
ඉදිරිපත්වනු,4
රැළියේ,4
වූවෙකි,4
අභ්‍යාස,4
නැරඹුවා,4
හමුවීමේ,4
එලුත්,4
මෙවළමක්,4
යුරෝපයේත්,4
කාන්තාවකට,4
දොඩවති,4
සංවිධායකයන්ට,4
ප්‍රජාතන්ත්‍රවාතය,4
නොකෙරුණේ,4
අඩිතාලම,4
චෝදනාවකට,4
අලවා,4
යටි,4
පිටත්කර,4
සංඛ්‍යාවකින්,4
මහාද්වීප,4
දශකයට,4
ලිබරල්වාදියකු,4
තැනීමේ,4
යථාර්ථයක්වත්,4
ලිබියාවට,4
භාරදිය,4
ප්‍රීති,4
ප්‍රත්‍යක්ෂයට,4
සංවිධායකවරුන්ගේ,4
ගයමින්,4
ක්‍රියාමාර්ගය,4
තොගයක්,4
පුස්තකාලයේ,4
සෑයෙ,4
කරයිද,4
හෙළිවන්නේ,4
චතුස්කෝටිකයත්,4
ඤාණයේ,4
වැසියනුත්,4
පිටවෙන,4
වාග්විද්‍යා,4
කෙරිනි,4
රූපයෙන්,4
නොඅසන,4
ජාතිකයෝ,4
කොන්දේ,4
සිහිගන්වමින්,4
ඡන්දදායකයන්ගෙන්,4
ඩිව්ලා,4
අසිත,4
තරමටම,4
බිහිවීමත්,4
කුසලතා,4
කුමුදේශ්ටත්,4
නීතිඥයකුගේ,4
රඳවාගෙන,4
පැනවීමෙන්,4
ගුණසේකරට,4
ජනමාධ්‍යයටත්,4
ආසනවලට,4
දකින්නා,4
චාම්,4
නොදුනහොත්,4
වමාරනවා,4
ඒහෙම,4
විඳිය,4
ගැමියන්ගෙ,4
කැඩීම්,4
ප්‍රදේශයේත්,4
දෙකකුත්,4
දෙගුණයක්,4
කුලතිලක,4
කැටුව,4
ඇටයක්,4
විදිහ,4
මූලධර්මයෙන්,4
රසායනය,4
දීමවත්,4
කඳවුරුවලට,4
තෝතැන්නක්,4
තුන්සීය,4
බෙන්,4
ඔවුන්ගේම,4
ගියෝ,4
උදාන,4
විවට්ට,4
ස්වර්ගය,4
තැනැත්තියක්,4
හෙළයේ,4
සම්භව,4
චරිතවලට,4
නිර්මාණයෙහි,4
වූවනට,4
දැනුම්වත්,4
අෂ්රොෆ්ගෙ,4
දෙකෙහිම,4
අෂ්රොෆ්ට,4
උදාකළ,4
අෂ්රොෆ්ටත්,4
අමෙරිකන්,4
අපෝහන,4
වියෙහි,4
පාරිශුද්ධ,4
යුවළගේ,4
පතන්න,4
නහයට,4
පනතෙහි,4
කපලා,4
චිත්‍රපට,4
ස්වේච්ඡාවෙන්ම,4
රාජධානියෙ,4
බෙදලා,4
පින්කමක්,4
ධාරියෙක්,4
කුමාරිකාවක්,4
හර්තාලයෙන්,4
හැත්තෑවෙ,4
මිථ්‍යාමත,4
උද්ධමනය,4
පැවසී,4
සංවට්ට,4
උදේනි,4
විකාශයක,4
ලේකම්වරයකු,4
ද්‍රව්‍යවාදියකු,4
අන්සතු,4
දේවානම්,4
වස්තූන්ගෙන්,4
සභාවකින්,4
උපදේශ,4
සැනසෙන්න,4
හිතූ,4
සීයාට,4
වෙදුන්,4
අලුයම,4
අත්සනින්,4
අලුත්ගමගේ,4
වමාරමින්,4
ඉක්මවූ,4
පරිත්‍යාගයෙන්,4
දෘෂ්ටියක්,4
ගණන්වලත්,4
පළමුවැනිදාට,4
විඥානවාද,4
භංගවේවා,4
අටසිය,4
රැස්වීමකින්,4
ඊළමකට,4
පවසමි,4
බණාඩාරනායක,4
සිසුවියක,4
බෞද්ධයො,4
භායානක,4
නිවේදකයකු,4
හාඩිගේ,4
ක්‍රියාත්මකවන,4
ඇහුණා,4
අවශ්‍යතාවන්ට,4
පැතුම,4
මිනුම,4
දොරටුවෙන්,4
සෙඩෙක්,4
ගැලැප්පීම,4
බඩගින්න,4
ඔප,4
කෑලිවලින්,4
සංස්කෘතෙන්,4
රුපයක්,4
බිසව,4
සමරකෝන්,4
රචනය,4
ක්‍රිස්තියානීන්ගේ,4
පැනවූ,4
සංයමයක්,4
සාලිගෙ,4
සෙල්ලිපියේ,4
බිෂොප්වරුන්,4
ඕක්ලන්ඩ්,4
අතිශෝක්තියෙන්,4
ස්වසිද්ධිවලට,4
යහමගට,4
කැඩුවා,4
දක්වන්නන්ට,4
සංඛ්‍යාත්,4
පිහිටුවීමත්,4
අවිහිංසා,4
නොදැක්වෙන,4
හසුරුවනවා,4
ගැහැණියක්,4
සකස්කළ,4
හැසිරිය,4
ප්‍රතිරූපය,4
නිළමෙගෙ,4
බහක්,4
දේශපාලනඥ,4
රෙගුලාසිවලට,4
සුපිරිව්‍යුහයට,4
කාපු,4
දුකෙන්,4
වාසගම,4
සුගතියක්,4
ගෙනල්ලා,4
දේවල,4
බිරිඳට,4
අබියස,4
සිල්ලර,4
අන්තයේ,4
නිෂ්ශබ්ද,4
තියෙනවද,4
මැරුණ,4
දෙවඟනකගේ,4
මාමයි,4
අසාධාරණයකට,4
නිස්සරණාධ්‍යාශයෙන්,4
ත්‍රස්තවාදීහු,4
සෑබෑ,4
නැගෙන්න,4
ජෙනිෆර්,4
ඩිප්ලොමසි,4
ඇතුලෙ,4
පිලිවෙළක්,4
මාක්ස්වාදියෝ,4
ටවර්,4
උතුරත්,4
කරුණකින්,4
සංවර්ධනයත්,4
විහිදී,4
ඉවසීමට,4
බහිනවා,4
සමාජවාදියො,4
වැන්න,4
නරඹමින්,4
අවපාතය,4
ප්‍රහාරකයන්,4
සිංහලයනුත්,4
උච්ඡෙදයක්,4
දුමින්දට,4
මාෆියාවක්,4
මෝටර,4
අගෝස්තුවේ,4
කොමසාරිස්වරිය,4
ආත්මවාදීයි,4
මළකඳන්වලට,4
එළවන්න,4
ධෛර්යයක්,4
පන්සීය,4
සමීති,4
උසුලන,4
භාෂාවත්,4
උත්කල,4
ජෙනිංග්ස්ගෙ,4
වාංශිකයකු,4
ඒකවත්,4
වංචනික,4
සමිතියේ,4
දිවැස්,4
පාස්කුව,4
පිටුවට,4
පියතුමාගේ,4
සිරිමල්,4
ආකර්ශනීය,4
සන්ධිස්ථානයක්,4
ඳ,4
වෙහෙසෙන්නෙ,4
ක්‍රිස්ටි,4
භූමියෙ,4
බෙරය,4
විකල,4
දහසකුත්,4
කිසිදිනෙක,4
යෙදුණත්,4
නොවන්නකු,4
හෙංචක්කලා,4
වවුනියා,4
පියවරුන්ගෙන්,4
අනුප,4
වඩන,4
පැවරුවේ,4
මහන,4
අඩුවෙන්න,4
ට්විටර්,4
කරගන්නත්,4
චේතනාවක්,4
ගෑවිච්ච,4
උපහාසයට,4
පැනනගී,4
විග්නේෂ්වරන්ගේ,4
බැස්ස,4
ගලප්පන්න,4
පැස්කුවල්,4
දැමිණි,4
ශිරන්ත,4
හිතු,4
දිලා,4
දේශපාලනඥයකුගෙ,4
ස්ටැලින්ට,4
සංස්කෘතිකාංගයක්,4
භාරදුන්න,4
පත්වෙන්නෙ,4
අධිවේගයෙන්,4
ක්‍රියාකාරිකයෙක්,4
කතන්දරයකි,4
පෞද්ගලිකකරණයට,4
හසුරවනවා,4
නොතබනු,4
යෙදිලා,4
කබායක්,4
දන්වන,4
භක්තියක්,4
සිදාධස්ථාන,4
දේශයෙ,4
අරුමය,4
සංදර්ශනවලට,4
විපක්ෂෙත්,4
වළඳා,4
දහහතකින්,4
පැමිණියේත්,4
ඔවැනි,4
ජාතිද්‍රෝහි,4
පව,4
තැනුවේ,4
ගලව,4
මෙහෙවරක්,4
සොලී,4
ද්‍රෝහියෙක්,4
නැගෙනහිරත්,4
විකිණීමක්,4
විධාන,4
කට්ටඩි,4
කුලයෙන්,4
ලැයිස්තුවට,4
හැටක,4
උපදෙස්වලට,4
ජනජීවිතය,4
සොයති,4
නොපරදවන්න,4
දරන්නෙ,4
කටයුත්තක,4
ජනාධිපතිවරණයත්,4
දමති,4
පාමුල,4
භෞතිකයත්,4
රටවැසියකුට,4
ගුරුත්වාකරෂණ,4
ගෝලයෙහි,4
ෆේල්,4
වූවිට,4
ගණිතයවත්,4
චිත්‍රපටය,4
ගණිකා,4
සාපෙක්ෂ,4
අනුමිනිත,4
බෙදුවෙ,4
ගෝලාකර,4
තිබුණමුත්,4
නිරපේක්ෂත්වය,4
ජනමාධ්‍යවේදීන්වත්,4
කොටියා,4
ඔළුවෙ,4
ඇමතුවෙ,4
ධනදාස,4
අල්ලගෙන,4
සම්බන්ධන්වත්,4
සංදර්භයෙහි,4
අභයගුණවර්ධන,4
රෝගාතුර,4
ළමයකුට,4
සතුන්ගෙ,4
පුරවන,4
මුසාබස්,4
සීමාකරන,4
මැතිවරණයත්,4
අරඹලා,4
සසම්භාවී,4
කුණුහරුපයෙන්,4
මූන්ගේ,4
ඒගොල්ලන්,4
ගතියය,4
විහිදෙනවා,4
මාලබේට,4
හඳුන්වාගන්නා,4
වනාන්තරයක්,4
අයාලේ,4
සඳහන්වන්නේ,4
කේශධාතුන්,4
අමාත්‍යවරුන්ගේ,4
සිංහලකමක්,4
රොකට්‌ටු,4
ඡෙදයේ,4
නිස්සංක,4
බස්වලින්,4
ගාලා,4
වතාව,4
අවශ්‍යතාවලට,4
රාජ්‍යවත්,4
ලිපියේත්,4
පෙහෙවස්,4
දැනගත්තත්,4
වෙදකමෙත්,4
සමිතිවලට,4
නෝනගෙ,4
කවියක්,4
ප්‍රියදර්ශන,4
මාර්ගයත්,4
පරයේෂණයක්,4
අනුන්ට,4
ධම්මපදය,4
ඔවුහුම,4
කම්පූචියාව,4
සභ්‍යත්වයකට,4
හිස්ටරි,4
කොමසාරිස්වරයකු,4
වැඩිවෙලා,4
බැසීම,4
අක්කා,4
වෙලාවකින්,4
දුරස්ථ,4
මූණට,4
වසන්තයේ,4
විධියත්,4
විචාරණයට,4
ඈත්වෙලා,4
රාජද්‍රෝහි,4
ප්‍රියජනක,4
වරදින,4
අර්ධද්වීපයට,4
දෙනෙකුත්,4
ඉගැන්නුව,4
ගමනාගමනය,4
සංවිධායකකම,4
මෞලවීලා,4
රාජද්‍රෝහීන්,4
රටාවකට,4
උනාම,4
ටෙස්ලා,4
ඔහුගේත්,4
නැතිවෙලා,4
වැට්ටවීම,4
කියවීමි,4
සුුදු,4
කන්දප්පා,4
ජයසූරියගෙ,4
මාවතක්,4
සම්මජාතියේ,4
බලාපොරෙත්තුවෙන්,4
දත්විට,4
අන්දමත්,4
පිළිගැන්වීම,4
ඇතිවෙන්න,4
දැරුවෙ,4
බලකෙරෙයි,4
ද්වි,4
දෝරේ,4
රාවුෆ්,4
විභාගයකින්,4
බෝතලේ,4
ග්ලාස්ගෝ,4
වැඩකළ,4
දීමය,4
චිකාගෝ,4
අලින්නෙ,4
ගෙව්වා,4
ආනුභවිකයක්,4
කෘෂිකර්මයේ,4
ඒවගේ,4
මඤ්ඤාන,4
තොල්,4
වෙනචා,4
මූලධර්මයක්,4
තෙරපුම,4
හෝටල්වලට,4
මවමින්,4
කිණිසි,4
ගණිතයේත්,4
කාටද,4
බැළලියකගේ,4
පරමාණුවල,4
ෆිලඩෙල්ෆියා,4
ගත්කළ,4
ඉහවහා,4
වැල්ලේ,4
සාපේක්ෂවය,4
කාම්බෝජයේත්,4
කියැවී,4
විදුහලේත්,4
තත්වයත්,4
එල්වත්,4
කාත්තන්කුඩියේ,4
දුරාවබෝධ,4
බසෙහි,4
නොනැවති,4
පේන්නේ,4
උන්වහන්සේගෙන්,4
ජනමාධ්‍යයකින්,4
විඥානාර්ථවාදී,4
ග්‍රීකයන්ගෙන්,4
බ්ලැවට්ස්කි,4
පැවැත්වුණේ,4
පැළ,4
පිටපතෙහි,4
අල්විස්ගේ,4
උත්සවයකි,4
ඉත්තෝ,4
හේරත්ගේ,4
තියෙනතාක්,4
සූූර්යයා,4
සිතත්,4
නැකතකින්,4
පවතින්නෙත්,4
වෛද්‍යවරයාගේ,4
විහාරස්ථානයේ,4
දිනේෂ්ලා,4
පල්ලියක,4
වීරයෝ,4
සිරකර,4
