index,corrected_sentence
144544,සූර්යයා ගමන් නොකරන බවත් පෘථිවිය නමි සූර්යයා වටා චලනය වන බවත් එබැවින් මෙය මිථ්‍යාවක් බවත් පඬියන් කියනු ඇත
144545,සූර්යයා නැවත මේෂයට එන විට අප ශක්තිමත් නායකයකු පත්කර ගත යුතු ය
146239,හෙළයන් කියන්නෙ සූර්යයා සමග සම්බන්ධ කියන එක මිසක් හෙල්වල ජීවත් වූ අය නො වෙයි
15321,අවශ්‍ය නමි කෙනකුට සූර්යයාට සාපේක්ෂව පෘථිවියේ චලනය පදනමි කරගෙන ද අවුරුද්ද උදාවන ආකාරය ප්‍රකාශ කළ හැකි ය
19459,ඇර්ස්ටෝටල්ගෙ ද්විකෝටික න්‍යාය එක්ක උපකුලකයක අනුපූරකය අර්ථ දැක්වීමේ දී ම ප්‍රශ්න එනවා
75559,කුලකවාදය අනුව උපකුලකයක අනුපූරකය නිර්වචනය කරන්නේ කෙසේ ද අවයවයක් කුලකයට හෝ උපකුලකයට එක්කෝ අයත් විය යුතුයි
28699,එමෙන් ම එය ආහාර පරිපූරකයක් ලෙසත් අනුමත වෙලා තියෙනවා
126176,මෛත්‍රිපාලට තමාගෙම පූර්වාදර්ශයක් තියෙනවා
93224,නීතිය බූරුවෙක් කියලා කතාවක් තියෙනවා
86345,දහහතර වැනි වියේ පසු වූ අපට ඔහුට සෑහීමකට පත්වෙන පිළිතුරක් ලබා දෙන්න බැරි වුණා
77372,කෝල්බෘක් කැමරන් රාජකාරි ක්‍රමය අහෝසි කර ඉංගිරිසි වෙළෙඳ ආර්ථිකයක් ඇතිකිරීමෙන් පසු එ මගින් ඊනියා ප්‍රභූන් බවට පත්වූ සිංහල ක්‍රිස්තියානිහු ද වූහ
34118,එවැනි අවබෝධයක් තිබිණි නම් ඒ මහතා විදුසර සංග්‍රහයෙහි පිටු නාස්ති නොකරනු ඇත
44965,එහෙත් රජුට කුමරු අල්ලා දඬුවම් කිරීමේ අවශ්‍යතාවක් නො වීය
120080,මේ අතර බටහිරයන්ට මහින්ද පන්නා දැමීමේ අවශ්‍යතාව නැත්නම් රාජපක්ෂ රෙජිමය එළවා දැමීමේ අවශ්‍යතාව තිබුණා
71487,ඊනියා පොදු මතවාදයක් තුළට ගැනීම ද එසේත් නැතහොත් ඊනියා ස්වාභාවික වරණය ඊනියා පොදු මතවාදය බවට පත්කර ගැනීම ද යන්න ඔහු ලියන දෙයින් පැහැදිලි නො වේ
123648,මේ ලිපිය තමන්ට අවශ්‍ය පරිදි මගේ තෝරාගත් ලිපි පමණක් පළකරන පුවත්පත් වෙබ් අඩවි ආදිය සඳහා ඉදිරිපත් කරන්නේ නැහැ
9942,අපට අවශ්‍ය වන්නේ ප්‍රභාකරන් යනු හුදු ත්‍රස්තවාදියෙකු නොවූ බව අවධාරණය කිරීම ය
56391,ඒ සඳහා සමාධිය අවශ්‍ය ය
107084,මට ඔහු පෞද්ගලික ව මුණ ගැසීමේ අවශ්‍යතාවක් නැති බව දන්වනු කැමැත්තෙමි
118940,මෙලෙස එම ජලය විස්තර කොට ඇත්තේ එහි ජීවීන් බිහි වීමට අවශ්‍ය දේ තිබෙන බව පහදා දීම සඳහා ය
119711,මෙහි ප්‍රධාන කාර්යය වන්නේ ඇදහීම අරමුණු කරගෙන නිවන් දැකීම සඳහා අවශ්‍ය මානසික තත්වයන් මිනිස්සු තුල ගොඩ නැංවීමයි
123646,මේ ලිපිය තමන්ට අවශ්‍ය පරිදි මගේ තෝරාගත් ලිපි පමණක් පළකරන පුවත්පත් වෙබ් අඩවි ආදිය සඳහා ඉදිරිපත් කරන්නේ නැහැ
123647,මේ ලිපිය තමන්ට අවශ්‍ය පරිදි මගේ තෝරාගත් ලිපි පමණක් පළකරන පුවත්පත් වෙබ් අඩවි ආදිය සඳහා ඉදිරිපත් කරන්නේ නැහැ
124025,මේ විවාදය ලංකාවේ කෙරෙන ප්‍රසිද්ධ විවාදයක් ලෙස පැවැත්වීම මගේ අවශ්‍යතාව විය
104657,බුදුදහමට අනුව පුනරුත්පත්තිය සඳහා විඤ්ඤාණය අවශ්‍ය වන්නේ ය
120143,මේ අදහස ඔප්පු කිරීමට අවශ්‍ය සාක්‌ෂි ලෙස ඔවුන් පවසන්නේ එම ස්‌ථානයට සුළු රෝගයක්‌ වුව සෑදුණොත් මුළු විඤ්ඤාණය ම ක්‍රියා විරහිත වන බව ය
34132,එවැනි අවස්‌ථා දෙකේ ම ජීවීන්ට අවශ්‍ය දේවල් සෑදෙන්නේ නැත
106871,මට අවශ්‍ය වන්නේ එවැනි උසස් මට්ටමේ සිංහල බෞද්ධයන් මේ පරීක්ෂණය අර්ථකථනය කරන්නේ කෙසේ දැයි දැනගැනීම ය
139792,සම්පුර්ණ චිත්ත විසුද්ධියත් ඇති වීමට අර්පණා සමාධිය අවශ්‍ය ය
8075,අප ගේ මූලික අදහස වන්නේ අප ස්‌වභාවධර්මයට අවශ්‍ය සේවයක්‌ ඉටු කරන බව ය
19513,ඇල්ගොරිතමය යනුවෙන් අදහස්‌ වන්නේ යම්කිසි ගණිත ගැටලුවක්‌ නිශ්චිත පියවර ගණනකින් විසඳීමට අවශ්‍ය නීති රීති වන්නේ ය
123649,මේ ලිපිය තමන්ට අවශ්‍ය පරිදි මගේ තෝරාගත් ලිපි පමණක් පළකරන පුවත්පත් වෙබ් අඩවි ආදිය සඳහා ඉදිරිපත් කරන්නේ නැහැ
137253,ශක්‌තිය සැම ක්‍රියාවලියකට ම අවශ්‍ය වන්නේ ය
124026,මේ විවාදය ලංකාවේ කෙරෙන ප්‍රසිද්ධ විවාදයක් ලෙස පැවැත්වීම මගේ අවශ්‍යතාව විය
113254,මා ලියන දේ ඔහුට අවශ්‍ය පරිදි වෙනස්‌ කොටගෙන එය වැරැදි බව පවසා මා කිසිවක්‌ නො දන්නකු බව ඔප්පු කිරීමට තම කාලය ශක්‌තිය සහ අවකාශය වැය කරමින් පරිභව කිරීමට ඔහු තුළ ඇති සහජ හැකියාව විදහාපායි
107085,මට ඔහු පෞද්ගලික ව මුණ ගැසීමේ අවශ්‍යතාවක් නැති බව දන්වනු කැමැත්තෙමි
123650,මේ ලිපිය තමන්ට අවශ්‍ය පරිදි මගේ තෝරාගත් ලිපි පමණක් පළකරන පුවත්පත් වෙබ් අඩවි ආදිය සඳහා ඉදිරිපත් කරන්නේ නැහැ
123651,මේ ලිපිය තමන්ට අවශ්‍ය පරිදි මගේ තෝරාගත් ලිපි පමණක් පළකරන පුවත්පත් වෙබ් අඩවි ආදිය සඳහා ඉදිරිපත් කරන්නේ නැහැ
20873,ඉන් පෙර ලංකාවට පැමිණි සියළු ජනකොටස් සිංහල සංස්කෘතියට අවශෝෂණය වුනා
131008,රේඛීය චින්තනයක අර්ථ දැක්වීම් ගැන සඳහන් කරන විට කියැවෙන මූලික කරුණක් නම් යමක් දෙවැනි දෙයක් ඇසුරෙන් අර්ථ දක්වා ඇත්නම් ඒ දෙවැන්න පළමුවැන්න ආශ්‍රයෙන් අර්ථ දැක්විය නො යුතු බව ය
91684,නාලක හිමියෝ සෙන්පති කොබිබෑකඩුව මහතා ඉතා කිටිටුවෙන් ඇසුරු කළහ
13279,අපේ සූත්‍ර පිටකයට ජාතක පොතට මුල් තැන දෙන්න කටයුතු කරනවා නම් බටහිර නූතනත්වයට යට නොවෙනවා නම් අනාගත පරම්පරාවලට සිංහල බුද්ධාගමක් ඉතිරි වේවි
70897,ඔහු හිටපු කතානායක වන්නේ කවදා ද යන ප්‍රශ්නය පමණක් දැනට ඉතිරි වී තිබෙනවා
78771,ගෝඨාභය මන්ත්‍රීවරයකු ව නොසිටි බැවින් ඔහු පක්ෂයකින් ඉදිරිපත් වීම අනිවාර්ය වුනා
6403,අනෙක් අතට යම් අයුරකින් ගෝඨාභයට ඉදිරිපත් විය නොහැකි වුවොත් විකල්ප අපේක්ෂකයා රාජපක්ෂ කෙනකු ම විය යුතු ද මෙහි දී දරුණු ම ගණයේ අවස්ථාවාදියකු වූ චම්පක ඉදිරිපත් කරන කොන්දේසි ඔහුත් සමග ඉතිහාසයේ කුණු බක්කියට විසි කරන්න ඕනෙ
52193,ඒ නිසා මට ජනාධිපතිවරණයට ඉදිරිපත් වෙන්න බැහැ
54973,ඒ වගේ ම ජනාධිපතිවරණයට ඒ සංධානයෙන් අපේක්ෂකයකු ඉදිරිපත් කරන්න ඉඩ තියෙනවා
69625,ඔහු දැන් ජනාධිපතිවරණයට ඉදිරිපත් වීමට ව්‍යාපෘතියක නිරත වී ඉන්න බව පැහැදිලියි
119238,මෙහි ක්‍රිස්තියානි චින්තනය යනුවෙන් හැඳින්වෙන්නේ දහසයවැනි සියවසේ මාටින් ලූතර කතෝලික චින්තනයට එරෙහි ව ඉදිරිපත් කළ පෞද්ගලිකත්වයේ නිදහස මත පදනම් වූ චින්තනයයි
130382,රාජ්‍ය නොවන සංවිධාන බටහිර මතවාද ඉදිරිපත් කෙරෙන්නෙ ඊනියා වාස්තවික පදනමකින්
20938,ඉන්දියාවක් නොතිබු කලක ඉන්දියානුවකු සිටිය නොහැකියි
75971,කෙසේ වෙතත් ඉන්දියාවේ මැදිහත්වීමෙන් ඉඩම් බලතල පළාත් සභාවලට හිමිකර දීමට කටයුතු කළේ ය
28191,එබැවින් තර්කයක් ඉදිරිපත් කරන්න පුළුවන් හතරවැනි ව්‍යවස්ථාව තුන්වැනි ව්‍යවස්ථාව සමග බැඳී ඇති බවත් එබැවින් හතරවැනි ව්‍යවස්ථාව සංශෝධනය කිරීම සඳහාත් ජනමත විචාරණයක් අවශ්‍ය බවත්
120139,මේ අද ඉදිරිපත් කරන වාර්තාව වචන හරඹයකින් පස්සෙ නව ව්‍යවස්ථාව ලෙස ඉදිරිපත් කරන්න පුළුවන්
49688,ඒ කුමක් වුවත් අපට තවමත් නොපෙනෙන කරුණු ඉන්දීය මැදිහත් වීමේ තියෙන බව නම් පැහැදිලියි
130103,රයන් පැහැර ගෙන යෑමට මහ දවල් වෛද්‍ය නිලධාරීන්ගේ සංගම් කාර්යාලය ඉදිරිපිටට දෙනෝ දාහක් මැද පොලීසිය පැමිණේවි යැයි හිතන්න බැහැ
10345,අපට ඕන ඉංගිරිසින්ටත් වඩා හොඳින් උච්චාරණය කරන්න
138889,සන්ධානයේ ඇතැම් ඊනියා උගත්තු සන්ධීය හෙවත් ෆෙඩරල්වාදියෝ වෙති
48309,ඒ උපාධිධාරීන් පසුව පරිපාලන සේවයට අධ්‍යාපන අමාත්‍යාංශයට පාසල්වලට පත් වී සේවය කළා
26080,එක් උපායක් නම් කැල්සියම් ආසනේට් පමණක් නොව ඕනෑම ඊනියා අද්‍රාව්‍ය ලවණයක් ඉතා සුළු ප්‍රමාණයකින් වුව ද ජලයේ ද්‍රාවණය වන බව කීම ය
136771,වෙනස ඇත්තේ අප කල්පනා කරන ක්‍රමයෙහි හා බටහිර අධ්‍යාපනයෙන් හිස උදුම්මාගත් ඊනියා උගතුන් කල්පනා කරන ආකාරයෙහි ය
29657,එය උපකුලපති රාජාගෙ තීරණයක් මත සිදු වූවක් ද පාලක මණ්ඩලයේ තීරණයක් මත සිදු වූවක් ද එසේත් නැත්නම් හමුදාවේ හෝ පොලීසියේ හෝ වැඩක් ද යන්න පැහැදිලි නැහැ
267,අග්ගඤ්ඤ සූත්‍රයට අනුව එක් කල්ප විනාශයකින් පසුව පෘථිවියට පළමුව සත්ත්වයන් පැමිණ ඇත්තේ ආභස්සර බ්‍රහ්ම ලෝකයෙනි
27724,එනම් ආණ්ඩුවේ සිට ජනතාව කරා ගලා එන රේඛීය සම්බන්ධයක් නැත
141599,සිංහල දෙමළ කෝළාහලවලට වග කියන්න ඕන
46509,වෙනත් චින්තන ඇති අයට ග්‍රීක යුදෙවු ක්‍රිස්තියානි චින්තනයෙහි වියුක්ත කතන්දර හෙවත් බොරු නිර්මාණය කිරීමට නො හැකි ය
22782,ඊනියා ප්‍රජාතන්ත්‍රවාදය තිබීම සතුටට කරුණක් ද බටහිරයන් සමහරවිට ඒ එසේ යැයි සිතනු ඇත
67542,ඔවුන් විනිශ්චය කෙරෙන්නේ කවුරුන් විසින් ද බටහිරයන් අපට දී ඇති විවධ ධුරාවලීන්හි ඉහළින් ම සිටින කොටස් ගැන විනිශ්චයක් දීමේ දී ප්‍රශ්න පැනනගියි
127429,යාපන විශ්වවිද්‍යාලයට සිංහල සිසුන් යවන්න දෙමව්පියන් අකමැති නම්  ඔවුන් බලෙන් යවන්න බැහැ
15902,අවුරුදු දහතුනක් පමණ වලිකෑමෙන් පසුවත් ඔවුන්ට තමන්ට අවශ්‍ය දේ කරගත නොහැකි විය
72457,ඕන නම් දෙවියන් ඉන්න එකත් කතා කරන්න පුළුවන්
71604,ඔහුට ඕස්ට්‍රේලියාවෙවත් ලංකාවෙවත් කරන්න දේශපාලනයක් නැහැ
72155,ඕනෑම කතාවක් සාපේක්ෂ වෙයි
100602,බටහිර ගණිතයෙහි දී බටහිර ගණිතඥයන් තමන් කතා කරන්නේ මොනවා දැයි නො දන්නා බව ඇතැම් බටහිර ගණිතඥයන් හා දාර්ශනිකයන් පවසා ඇත්තේ එබැවිනි
25151,එංගලන්තයට පුළුවන් වෙලා තියෙනවා සෝමාලියාව හැරෙන්න අනෙක් අප්‍රිකානු රටවල් තම පැත්තට නම්ම ගන්න
114500,මාර්ටින් වික්‍රමසිංහ එදිරිවීර සරච්චන්ද්‍ර ගුණදාස අමරසේකර මේ ගණයට අයත්
143260,සිදුහත් කුමරු කොහේ උපන්නත් බුදුන් වහන්සේ අපේ ය
115500,මිලාන් කුන්දේරා නවකතාව සමාජ විද්‍යාවෙන් වෙන් කර එහි භාෂා රීතිය ආදිය ගැන කතා කළා
88823,දෙමළ ජාතිවාදී ඉතිහාසඥයන් යාපනයේ දෙමළ කුල ක්‍රමය තමිල්නාඩුවේ කුල ක්‍රමයෙන් වෙනස් වන්නේ කෙසේ ද යන්න හා යාපනයේ බ්‍රාහ්මණ වාංශිකයන් ප්‍රධාන වාංශිකයන් නොවීම තේරුම් කරන්නේ කෙසේ ද මේ සියල්ල නැවත නැවත කීවත් දෙමළ ජාතිවාදීහු කිසි දිනෙක පාඩමක් ඉගෙන නොගනිති
43980,එහෙත් මනස ගැන කිව හැක්කේ කුමක් ද අභිධර්මයෙහි විවිධ චිත්ත ගැන ඉගැන්වෙයි
90156,ධනපාල මහතා කාගෙන් හෝ කොහෙන් හෝ වචන කීපයක් අහුලා ගනියි
134844,විද්‍යාවේත් නිර්මාණ කිරීමට අප අපේ සංස්කෘතියේ කිමිදිය යුතුයි
67787,ඔවුහු තමන්ට ද නොතේරෙන සංකල්ප යොදා ගනිමින් එකිනෙකා සමග පඬිකතා කියති
113652,මා හැමදාමත් කියන්නේ ජනාධිපතිවරණයෙ තුන්කොන් සටනක් වුණොත් කිසිවකුටවත් ඡන්දවලින් සියයට පනහක් හා තව එකක් ලැබෙන්නෙ නැහැ
85587,දකුණ කියන්නේ ජාත්‍යන්තර සුපිරි ව්‍යූහ සංස්ථාපනය වෙනුවෙන් කටයුතු කරන කණ්ඩායම්
26160,එක් දේශපාලන පක්ෂයක වෙබ් අඩවිය ජයසුමන මහතාගේ ප්‍රකාශයක් මත පදනම් වන්නේ යැයි කියමින් සේනානායක මහත්මියගේ ද පරණගම මහත්මියගේ ද සේවය නොතකා හැරියේ ය
10413,අපට කියන්න පුළුවන් බටහිර විද්‍යාවෙ කතන්දර හදන්නෙ යම්කිසි සීමිත නිරීක්ෂණ කුලයකට සන්නිකර්ෂණ ව හරියන්න කියා
12478,අපේ උපකරණ ක්‍රියා විරහිත බව එක් මහාචාර්යවරියක් කියන විට ඇගේ මහාචාර්ය සැමියා අපට පිස්සු යැයි කීවේ ය
69119,ඔහු කියා සිටියේ ගුණදාස අමරසේකර මහතා නම් නමක් දිනාගත් ප්‍රාඥයකු වුවත් නලින් ද සිල්වා යනු කවුද යන්න ය
134018,වැඩිය කියවන්නෙ නරක වෙන්න පුළුවන්
7905,අප කිරි කැවේ ඇයි කොක්කුන්ට කිරි කවන්න ද අද බටහිර වෛද්‍යවරු අපට කිරි බීමේ වටිනාකම කියලා දෙනවා
54371,ඒ මොකක් වුණත් කිරිඇල්ල හොඳ මනුස්සයා
75391,කිරිඇල්ල සාමාන්‍ය පෙළ කඩඉම පළමු වතාවේ ම පැන ගත්තේ නැහැ
16968,ආණ්ඩුව මේ ගෞරවය නැති කරලා හමුදාව කෙරෙහි කළකිරීමක් ඇති කරවන්නෙ ව්‍යවස්ථා සම්පානයෙහි දී කිරීමට බලාපොරොත්තුවන දේට පසුබිම හදාගන්න ද අර මෛත්‍රිපාලගෙ නඩය ව්‍යවස්ථාව ගැන මොනවා කරාවි ද රටට වඩා ඇමති කට්ට ලොකු වේවි ද
16969,එක් මාධ්‍යවේදියකුට අනුව නාවික හමුදාපතීත් හම්බන්තොට දී පහර දීලා
112583,මා පෙබරවාරි මැතිවරණයේ දී මෛත්‍රිපාලට ආධාර කිරීමක් ගැන කිසි දෙයක් කියා නැහැ
32374,එය හා පෙබරවාරි මැතිවරණය අතර කිසිම සම්බන්ධයක් නැහැ
119257,මෙහි කිසිම ගැටළුවක් නැහැ
121445,මේ කිසිම මුස්ලිම් දේශපාලනඥයෙක් කියා තියෙනවා ද අත්අඩංගුවේ පසුවන රණවිරුවන් බුද්ධි අංශ නිලධාරීන් චෝදනා නැත්නම් වහාම නිදහස් කරන ලෙස
123709,මේ ලිපියෙන් ඒ අයට කිසිම තර්ජනයක් නැහැ
130971,රූමත් තරුණියන් දූෂණය කෙරෙන චිත්‍රපටි සපයන ලෙසට ඔහුට ස්විට්සර්ලන්තයේ යම් කිසිවකු ඉල්ලා තිබෙනවා
138012,සංකල්ප නොමැතිව සංජානනයක් ගැන කිව හැකි ද ඒ සඳහා කිසිවකුට උදාහරණයක් සැපයිය හැකි ද සත්ත්වයා හා කැමරාව අතර ඇති වෙනස කුමක් ද කැමරාවට ද ඇසට මෙන් ම කාචයක් ඇත
33123,එයට විිද්‍යාඥයන් කිහිප දෙනකුම සහභාගි වුණත් වඩාත් ප්‍රසිද්ධ වූයේ පීටර් හිග්ස්
16795,ආණ්ඩුව කවරක් හෝ වේවා පාස්කු ප්‍රහාරය ගැන නිසි පරීක්ෂණ පවත්වනවා වෙනුවට ඉදිරිපත් වූ චෝදනා පමණක් දින කිහිපයක් ඇතුළත විභාග කර චූදිතයන් නිදහස් කිරීම අලුත් විමර්ෂණ පටිපාටියක් වෙන්න ඕන
46154,එහෙම නැත්නම් කුකුළන් කෙටවීම් කෙරෙනවා
22106,ඉහත කී වැඩසටහනේ නිවේදක ද එසේ ඇසූ පිරු තැන් ඇති අයකු විය යුතුයි
14934,අරාබියෙන් පැමිණි වෙළෙන්දන් සිංහල ස්ත්‍රීන් සමග විවාහ වීමේ ප්‍රතිඵලයක් ලෙස මෙරට මුස්ලිම් ජනයා ඇතිවිණි යැයි කීම අරාබි නිසොල්ලාසයට ම අයත් වූවකි
126647,මොවුන්ට අවශ්‍ය තවත් ඊනියා යුද්ධයක් ද එමගින් මහින්ද රාජපක්ෂ ගෝඨාභය රාජපක්ෂ මහතුන් දංගෙඩියට යවා සිංහලයන්ට ආර්ථික තහංචි පමුණුවා සිංහල බෞද්ධ සංස්කෘතිය විනාශ කිරිම ද මොවුහු සිංහල බෞද්ධයන්ගේ යුද හැකියාව තවමත් නො දනිත් ද අසවේදෝලාගේ සිට ටොරිංටන්ලා දක්වා නූගත් පාඩම හිලරි ක්ලින්ටන්ලා කැමරන්ලා ඉගෙන ගනීවි යැයි සිතිය හැකි ද සම්බන්ධන්ලා බටහිරයන්ගේ අනුග්‍රහයෙන් සූදානම් වන්නේ දෙමළ සංස්කෘතිය විනාශ කිරීමට ය
25893,එකල රනිල් අගමැතිකමෙන් ඉවත් කිරීම යන්නෙන් මා බලාපොරොත්තු වූයේ සජිත් අගමැති කිරීමක් නොව මහින්ද අගමැති කිරීමයි
137410,ශ්‍රී ල නි පක්ෂය විසුරුවා හැර තමන්ට හිතවත් පක්ෂයක් ජාතිකත්වයේ පක්ෂය බවට පත්කර ගැනීමට උනන්දුවක් දක්වන්නෝ ශ්‍රී ල නි පක්ෂය කඩා වැටෙන බවට අමන අනාවැකි කියති
68339,ඔහු ඉතා පැහැදිලිව කියනවා මා හැමදාමත් කියන දේ එදත් කී නිසාත් කරුණු රාශියක් කළමනාකරණයකින් තොරව කී නිසාත් අවුලක් ඇති වුනා කියා
125297,මෛත්‍රිපාල එකල රනිල් කියන දේ පමණක් නොවෙයි චන්ද්‍රිකා කියන දේත් පිළිගත්තා
105214,බොහෝ අය කියනවා අද ලෝකයෙ තියෙන්නෙ දැනුම පදනම් කරගත් ආර්ථිකයක් කියලා
88861,දෙමළ ජාතිවාදීන් කියන්නේ දෙමළ ජනයා සිංහලයන්ට ඉස්සෙල්ල ලංකාවෙ හිටිය කියලා
23486,ඊයේ මා සඳහන් කළ ලිපියේ ස්මාට් ජාතිකවාදියා කියන්නේ ඉංග්‍රීසීන් ඇති කළ දෙමළ ජාතිවාදී ප්‍රශ්නයට වැරදිකරු සිංහල බෞද්ධයන් කියා
3717,අද මෙරට බෞද්ධයන්ට ඇති ඊනියා ඉස්ලාම් භීතියක් ගැන කියන්නේ ජාතිවාදීන් යැයි කියා ගන්නා කතෝලික සම්භවයක් ඇති පුද්ගලයන්
74219,කාට හරි කියන්න පුළුවන් නව ව්‍යවස්ථාව අවශ්‍ය වන්නේ ඊනියා දෙමළ ජාතිවාදී ප්‍රශ්නය විසඳුමට නො වේ ය කියා
104667,බුදුදහමට ඇති ප්‍රධාන ප්‍රශ්නය බුදුදහම විශ්වාස නොකරන අය බුදුදහම කියා දීමට ඉදිරිපත් වීම
126442,මොන කතා කියා තිබුණත් ඔහු අවසානයේ දී කියා ඇත්තේ සාමුහික ප්‍රාග්ධනයක් අවශ්‍ය බවයි
146014,හිලරි ක්ලින්ටන්ගේ නම මෙහි දී වඩාත් කියවෙනවා
80047,ජ වි පෙ කළ මිනීමැරුම් හා කොටින් කළ මිනීමැරුම් අතර වෙනසක් නැතැයි මෙයින් නො කියැවෙයි
69509,ඔහු තවත් කතාවක් කිව්වා පළාත් පාලන මැතිවරණයේ මන්ත්‍රී සංඛ්‍යාව ගණනය කිරීම ගැන
79234,චන්ද්‍රිකාට හා රනිල්ට අවශ්‍ය වූයේ දෙමළ ත්‍රස්තවාදය හමුදා මෙහෙයුම් මගින් පරාජය කිරීම නොව ඉංගිරිසින්ට අවශ්‍ය ආකාරයට දෙමළ ජාතිවාදයට කප්පන් දී ඊනියා සාමයක් පවත්වාගෙන යෑම ය
83702,තටිල් මහතා කරන වරද නම් ඒ ඒ විෂයයට නව නිර්දේශයෙන් පෙනී සිටි සිසුන්ගේ ඉසෙඩ් ලකුණු හා පැරණි නිර්දේශයෙන් පෙනී සිටි සිසුන්ගේ ඉසෙඩ් ලකුණු තුල්‍ය බව උපකල්පනය කිරීම ය
133590,ව්‍යවස්ථාව ප්‍රතික්ෂේප කිරීම රණවිරුවන් ආරක්ෂා කිරීම ජාතික සම්පත් රැක ගැනීම බැඳුම්කර හොරුන්ට නිසි දඬුවම් දීම දහතුන් වැනි ව්‍යවස්ථා සංශෝධනය ඉවත් කිරීම දහතුන හා පළාත් සභා ක්‍රියාත්මක වනතුරු විධායක ජනාධිපති ක්‍රමය අහෝසි නො කිරීම ආදිය මගේ යෝජනාවල අඩංගු වුණා
2177,අද කෙරෙන්නේ ආසාදිතයන් රෝගීන් ලෙස නම් කිරීමක් පමණයි
120720,මේ ආර්ථික ක්‍රියාවලිය ඇතිකිරීමට සංස්කෘතික වෙනස් කිරීමක් අවශ්‍ය විය
10611,අපට දෙමළ ජාතිවාදය පරාජය කිරීමට හැකිවූයේ බටහිර දැනුමට විරුද්ධව ප්‍රවාද ගොඩනගා ගැනීමෙනි
23676,උගත් පාඩම් කොමිසමේ නිර්දේශ ක්‍රියාත්මක කිරීමට බැඳී නැත
73299,කලබල උද්ඝෝෂණ වර්ජන ආදිය ඇතිකර ඊනියා මානව අයිතිවාසිකම් රැකීමට කියමින් බටහිරයන්ට ඔවුන්ගේ ප්‍රතිපත්තිවලට පටහැණි ක්‍රියාමාර්ග ගන්නා මහින්ද රාජපක්ෂ ආණ්ඩුව පෙරළා දැමීමට උදව් කිරීමට ය
109787,මහින්ද රාජපක්ෂ මහතා මේ කිසිවකුට දඬුවම් නොකිරීම හේතුවෙන් අද ඔවුන්ට උපාසකයන් ලෙස සමාජය ඉදිරියට පැමිණ ඒ මහතාට ම විරුද්ධව කටයුතු කිරීමට හැකි වී ඇත
109909,මහින්ද සමග තරඟ කිරීමට කොන්දක් නැතිව බැහැ
65641,ඔවුන් හිතන්නෙ දෙමළ ප්‍රශ්නෙ ඇති වුණෙ සිංහල රාජ්‍ය භාෂාව කිරීමත් සමග කියා
97716,පාර්ලිමේන්තුවට එවැනි ඉඩක් නොමැති නම් අදාළ විනිසූරුවන්ගේ ක්‍රියාකලාප පාලනය කිරීමේ හැකියාවක් නොමැතිවනු ඇත
83389,ඩඩ්ලි සේනානායක ජේ ආර් ජයවර්ධන ආර් ප්‍රේමදාස පමණක් නොව සජිත් ප්‍රේමදාසත් ජාතිකත්ව කතා කිව්වා
24982,ඒ වෙන කිසිවක් නිසා නොව ඔවුන් හිතන විදිහට මහින්ද සමග ඉදිරි ගමනක් නැති නිසා
101457,බටහිර විද්‍යාඥයෝ නිරීක්ෂණ කිහිපයක් සාධාරණය කිරීමෙන් උද්ගමනයෙන් යම් යම් ප්‍රකාශ කරති
109074,මහාචාර්ය රංජිත් බණ්ඩාර කීර්තිමත් ආර්ථික විද්‍යාඥයෙක්
121686,මේ ඡේදයෙන් අමරතුංග මහතා කියන්නේ කුමක් ද අප ගිය සතියේ පෙන්වා දුන් පරිදි ඒ මහතා යම් සාපේක්ෂතා දර්ශනයක් මත පදනම් වීම අපේ සතුටට හේතු වෙයි
43672,එහෙත් බස්නාහිර පළාතේ මැතිවරණ බල ප්‍රදේශ වෙන් කෙරෙන්නෙ ජනගහනයෙන් ලක්ෂයකට පමණ එක් මන්ත්‍රීවරයකු ලැබෙන පරිදි ය
53960,ඒ මහතා තවත් වරක් ජනාධිපති ධුරයට පත්කිරීමෙන් බටහිරයන්ට හා බමුණන්ට අතුල් පහරක් දීමට මෙරට පොදු ජනයාට හෙවත් සාමාන්‍ය ජනයාට හැකියාව තිබිය යුතු ය
51703,ඒ නාට්‍යයේ වචනයක්වත් කතා නොකරන චරිතයක් තිබුණාලු
134112,වැව වටේට ඉස්සර නම් ජීප් සිය ගණනක් තියෙනවලු
127855,රජකමට පත්කරනු ලැබුයේ සද්ධාතිස්ස නමින් ප්‍රසිද්ධ වූ තිස්ස ය
48504,ඒ එසේ වුවත් නැතත් ඔහු කෝප් විමර්ෂණයෙහි දී කීවේ කුමක් දැයි දැනගැනීමේ අයිතිය ජනතාව වන අපට තිබිය යුතු ය
132088,ලාංකිකයන් කිසිවකු ලෝකෙ කොහෙ හිටියත් මැරෙන්න ඉඩ තියන්නේ නැහැ
47954,ඒ ආයතනයේ තීන්දු වලට එරෙහිව ඔවුන්ට කිසිවක් කළහැකි නො වේ
60151,ඒත් කරුමෙක මහත තීරණ ගන්නෙ රනිල්
92227,නිගමනවලට පැමිණිලා පරීක්ෂණ පවත්වන්නෙ අහවල් දේකට ද මෛත්‍රිපාලට මේ පරීක්ෂණ නවත්වන්න බැහැ
84232,තර්ක කිරීමේ දී අප බොහෝ විට අමතක කරන කරුණු තුනක් තියෙනවා
86227,දහනවවැනි ව්‍යවස්ථාවෙ අරමුණු තුනක් තිබුණා
